pair_index	drugbank_pair_group	drug_a_drugbank_id	drug_b_drugbank_id	drug_a_split	drug_b_split	split	unseen_drug_count
0	DB00316|DB01033	DB01033	DB00316	training	training	training	0
1	DB00787|DB01033	DB01033	DB00787	training	test	test	1
2	DB01001|DB01033	DB01033	DB01001	training	test	test	1
3	DB00437|DB01033	DB01033	DB00437	training	training	training	0
4	DB00404|DB01033	DB01033	DB00404	training	test	test	1
5	DB00321|DB01033	DB01033	DB00321	training	training	training	0
6	DB00126|DB01033	DB01033	DB00126	training	test	test	1
7	DB00023|DB01033	DB01033	DB00023	training	training	training	0
8	DB00945|DB01033	DB01033	DB00945	training	validation	validation	1
9	DB00335|DB01033	DB01033	DB00335	training	training	training	0
10	DB00993|DB01033	DB01033	DB00993	training	training	training	0
11	DB00443|DB01033	DB01033	DB00443	training	training	training	0
12	DB00921|DB01033	DB01033	DB00921	training	training	training	0
13	DB00490|DB01033	DB01033	DB00490	training	validation	validation	1
14	DB01008|DB01033	DB01033	DB01008	training	test	test	1
15	DB01033|DB01373	DB01033	DB01373	training	training	training	0
16	DB01033|DB06724	DB01033	DB06724	training	test	test	1
17	DB00564|DB01033	DB01033	DB00564	training	training	training	0
18	DB00395|DB01033	DB01033	DB00395	training	training	training	0
19	DB00262|DB01033	DB01033	DB00262	training	training	training	0
20	DB01033|DB01212	DB01033	DB01212	training	training	training	0
21	DB00475|DB01033	DB01033	DB00475	training	training	training	0
22	DB00878|DB01033	DB01033	DB00878	training	training	training	0
23	DB00537|DB01033	DB01033	DB00537	training	training	training	0
24	DB00215|DB01033	DB01033	DB00215	training	test	test	1
25	DB01033|DB01068	DB01033	DB01068	training	test	test	1
26	DB00575|DB01033	DB01033	DB00575	training	validation	validation	1
27	DB00091|DB01033	DB01033	DB00091	training	validation	validation	1
28	DB00987|DB01033	DB01033	DB00987	training	training	training	0
29	DB00250|DB01033	DB01033	DB00250	training	training	training	0
30	DB00694|DB01033	DB01033	DB00694	training	training	training	0
31	DB01033|DB01234	DB01033	DB01234	training	validation	validation	1
32	DB00829|DB01033	DB01033	DB00829	training	training	training	0
33	DB00586|DB01033	DB01033	DB00586	training	training	training	0
34	DB00804|DB01033	DB01033	DB00804	training	training	training	0
35	DB00390|DB01033	DB01033	DB00390	training	training	training	0
36	DB00327|DB01033	DB01033	DB00327	training	training	training	0
37	DB00985|DB01033	DB01033	DB00985	training	training	training	0
38	DB01033|DB01075	DB01033	DB01075	training	training	training	0
39	DB01033|DB01081	DB01033	DB01081	training	training	training	0
40	DB01033|DB01184	DB01033	DB01184	training	training	training	0
41	DB00997|DB01033	DB01033	DB00997	training	training	training	0
42	DB00584|DB01033	DB01033	DB00584	training	training	training	0
43	DB00783|DB01033	DB01033	DB00783	training	validation	validation	1
44	DB00286|DB01033	DB01033	DB00286	training	training	training	0
45	DB00977|DB01033	DB01033	DB00977	training	training	training	0
46	DB00773|DB01033	DB01033	DB00773	training	training	training	0
47	DB00927|DB01033	DB01033	DB00927	training	training	training	0
48	DB00813|DB01033	DB01033	DB00813	training	training	training	0
49	DB00196|DB01033	DB01033	DB00196	training	training	training	0
50	DB00472|DB01033	DB01033	DB00472	training	training	training	0
51	DB00158|DB01033	DB01033	DB00158	training	test	test	1
52	DB00695|DB01033	DB01033	DB00695	training	test	test	1
53	DB01004|DB01033	DB01033	DB01004	training	training	training	0
54	DB01016|DB01033	DB01033	DB01016	training	validation	validation	1
55	DB01033|DB01296	DB01033	DB01296	training	test	test	1
56	DB01033|DB01109	DB01033	DB01109	training	training	training	0
57	DB00999|DB01033	DB01033	DB00999	training	training	training	0
58	DB00956|DB01033	DB01033	DB00956	training	training	training	0
59	DB00741|DB01033	DB01033	DB00741	training	test	test	1
60	DB01033|DB01611	DB01033	DB01611	training	training	training	0
61	DB01005|DB01033	DB01033	DB01005	training	training	training	0
62	DB00557|DB01033	DB01033	DB00557	training	training	training	0
63	DB01033|DB01050	DB01033	DB01050	training	validation	validation	1
64	DB01033|DB01177	DB01033	DB01177	training	training	training	0
65	DB01033|DB01181	DB01033	DB01181	training	training	training	0
66	DB01033|DB09401	DB01033	DB09401	training	validation	validation	1
67	DB00982|DB01033	DB01033	DB00982	training	training	training	0
68	DB00650|DB01033	DB01033	DB00650	training	training	training	0
69	DB00281|DB01033	DB01033	DB00281	training	training	training	0
70	DB00836|DB01033	DB01033	DB00836	training	training	training	0
71	DB00186|DB01033	DB01033	DB00186	training	training	training	0
72	DB01033|DB01042	DB01033	DB01042	training	training	training	0
73	DB00331|DB01033	DB01033	DB00331	training	training	training	0
74	DB00333|DB01033	DB01033	DB00333	training	test	test	1
75	DB00563|DB01033	DB01033	DB00563	training	training	training	0
76	DB00959|DB01033	DB01033	DB00959	training	training	training	0
77	DB01033|DB01233	DB01033	DB01233	training	training	training	0
78	DB00264|DB01033	DB01033	DB00264	training	training	training	0
79	DB00916|DB01033	DB01033	DB00916	training	training	training	0
80	DB00683|DB01033	DB01033	DB00683	training	training	training	0
81	DB01033|DB01204	DB01033	DB01204	training	training	training	0
82	DB00295|DB01033	DB01033	DB00295	training	training	training	0
83	DB00627|DB01033	DB01033	DB00627	training	training	training	0
84	DB00646|DB01033	DB01033	DB00646	training	training	training	0
85	DB00338|DB01033	DB01033	DB00338	training	training	training	0
86	DB00497|DB01033	DB01033	DB00497	training	validation	validation	1
87	DB00233|DB01033	DB01033	DB00233	training	test	test	1
88	DB00738|DB01033	DB01033	DB00738	training	training	training	0
89	DB01022|DB01033	DB01033	DB01022	training	training	training	0
90	DB01033|DB14500	DB01033	DB14500	training	validation	validation	1
91	DB00761|DB01033	DB01033	DB00761	training	training	training	0
92	DB00860|DB01033	DB01033	DB00860	training	training	training	0
93	DB00635|DB01033	DB01033	DB00635	training	training	training	0
94	DB00433|DB01033	DB01033	DB00433	training	test	test	1
95	DB01033|DB01069	DB01033	DB01069	training	training	training	0
96	DB00647|DB01033	DB01033	DB00647	training	training	training	0
97	DB00571|DB01033	DB01033	DB00571	training	validation	validation	1
98	DB00550|DB01033	DB01033	DB00550	training	training	training	0
99	DB00863|DB01033	DB01033	DB00863	training	test	test	1
100	DB00795|DB01033	DB01033	DB00795	training	validation	validation	1
101	DB01033|DB09153	DB01033	DB09153	training	training	training	0
102	DB00421|DB01033	DB01033	DB00421	training	validation	validation	1
103	DB00444|DB01033	DB01033	DB00444	training	training	training	0
104	DB00624|DB01033	DB01033	DB00624	training	training	training	0
105	DB00352|DB01033	DB01033	DB00352	training	training	training	0
106	DB00451|DB01033	DB01033	DB00451	training	test	test	1
107	DB00193|DB01033	DB01033	DB00193	training	training	training	0
108	DB00656|DB01033	DB01033	DB00656	training	training	training	0
109	DB00755|DB01033	DB01033	DB00755	training	training	training	0
110	DB00620|DB01033	DB01033	DB00620	training	validation	validation	1
111	DB00440|DB01033	DB01033	DB00440	training	training	training	0
112	DB00512|DB01033	DB01033	DB00512	training	training	training	0
113	DB00661|DB01033	DB01033	DB00661	training	training	training	0
114	DB00570|DB01033	DB01033	DB00570	training	training	training	0
115	DB00541|DB01033	DB01033	DB00541	training	test	test	1
116	DB00309|DB01033	DB01033	DB00309	training	training	training	0
117	DB00162|DB01033	DB01033	DB00162	training	test	test	1
118	DB00115|DB01033	DB01033	DB00115	training	training	training	0
119	DB01033|DB11094	DB01033	DB11094	training	training	training	0
120	DB00682|DB01033	DB01033	DB00682	training	test	test	1
121	DB00370|DB01033	DB01033	DB00370	training	training	training	0
122	DB00448|DB01033	DB01033	DB00448	training	training	training	0
123	DB00381|DB01033	DB01033	DB00381	training	training	training	0
124	DB01014|DB01033	DB01033	DB01014	training	test	test	1
125	DB01033|DB01222	DB01033	DB01222	training	training	training	0
126	DB00241|DB01033	DB01033	DB00241	training	training	training	0
127	DB01033|DB01413	DB01033	DB01413	training	training	training	0
128	DB00341|DB01033	DB01033	DB00341	training	training	training	0
129	DB00924|DB01033	DB01033	DB00924	training	test	test	1
130	DB01033|DB01073	DB01033	DB01073	training	training	training	0
131	DB00996|DB01033	DB01033	DB00996	training	training	training	0
132	DB00904|DB01033	DB01033	DB00904	training	training	training	0
133	DB00889|DB01033	DB01033	DB00889	training	training	training	0
134	DB01033|DB01167	DB01033	DB01167	training	training	training	0
135	DB00555|DB01033	DB01033	DB00555	training	training	training	0
136	DB00455|DB01033	DB01033	DB00455	training	training	training	0
137	DB00776|DB01033	DB01033	DB00776	training	training	training	0
138	DB01033|DB06285	DB01033	DB06285	training	test	test	1
139	DB00758|DB01033	DB01033	DB00758	training	training	training	0
140	DB00059|DB01033	DB01033	DB00059	training	training	training	0
141	DB00178|DB01033	DB01033	DB00178	training	validation	validation	1
142	DB00734|DB01033	DB01033	DB00734	training	training	training	0
143	DB01033|DB01104	DB01033	DB01104	training	training	training	0
144	DB00641|DB01033	DB01033	DB00641	training	test	test	1
145	DB01033|DB01390	DB01033	DB01390	training	training	training	0
146	DB00669|DB01033	DB01033	DB00669	training	validation	validation	1
147	DB00273|DB01033	DB01033	DB00273	training	test	test	1
148	DB00285|DB01033	DB01033	DB00285	training	training	training	0
149	DB00425|DB01033	DB01033	DB00425	training	training	training	0
150	DB00213|DB01033	DB01033	DB00213	training	training	training	0
151	DB01033|DB13867	DB01033	DB13867	training	test	test	1
152	DB00814|DB01033	DB01033	DB00814	training	test	test	1
153	DB01033|DB01156	DB01033	DB01156	training	validation	validation	1
154	DB00380|DB01033	DB01033	DB00380	training	training	training	0
155	DB00631|DB01033	DB01033	DB00631	training	training	training	0
156	DB00242|DB01033	DB01033	DB00242	training	training	training	0
157	DB00678|DB01033	DB01033	DB00678	training	training	training	0
158	DB00244|DB01033	DB01033	DB00244	training	training	training	0
159	DB01033|DB01225	DB01033	DB01225	training	training	training	0
160	DB00688|DB01033	DB01033	DB00688	training	test	test	1
161	DB01033|DB01409	DB01033	DB01409	training	training	training	0
162	DB00476|DB01033	DB01033	DB00476	training	training	training	0
163	DB00966|DB01033	DB01033	DB00966	training	test	test	1
164	DB00577|DB01033	DB01033	DB00577	training	training	training	0
165	DB01033|DB11089	DB01033	DB11089	training	test	test	1
166	DB01033|DB01137	DB01033	DB01137	training	training	training	0
167	DB00471|DB01033	DB01033	DB00471	training	training	training	0
168	DB00764|DB01033	DB01033	DB00764	training	validation	validation	1
169	DB01033|DB01202	DB01033	DB01202	training	training	training	0
170	DB01033|DB01129	DB01033	DB01129	training	training	training	0
171	DB00087|DB01033	DB01033	DB00087	training	training	training	0
172	DB00073|DB01033	DB01033	DB00073	training	test	test	1
173	DB00582|DB01033	DB01033	DB00582	training	validation	validation	1
174	DB01033|DB01307	DB01033	DB01307	training	validation	validation	1
175	DB00520|DB01033	DB01033	DB00520	training	training	training	0
176	DB00482|DB01033	DB01033	DB00482	training	training	training	0
177	DB00424|DB01033	DB01033	DB00424	training	training	training	0
178	DB00005|DB01033	DB01033	DB00005	training	training	training	0
179	DB01033|DB01280	DB01033	DB01280	training	training	training	0
180	DB00047|DB01033	DB01033	DB00047	training	test	test	1
181	DB00619|DB01033	DB01033	DB00619	training	training	training	0
182	DB00736|DB01033	DB01033	DB00736	training	training	training	0
183	DB01033|DB01098	DB01033	DB01098	training	training	training	0
184	DB01033|DB01175	DB01033	DB01175	training	test	test	1
185	DB01033|DB01141	DB01033	DB01141	training	training	training	0
186	DB00051|DB01033	DB01033	DB00051	training	training	training	0
187	DB00480|DB01033	DB01033	DB00480	training	training	training	0
188	DB01033|DB08904	DB01033	DB08904	training	training	training	0
189	DB01033|DB08882	DB01033	DB08882	training	training	training	0
190	DB00169|DB01033	DB01033	DB00169	training	training	training	0
191	DB01033|DB08890	DB01033	DB08890	training	training	training	0
192	DB01193|DB01418	DB01193	DB01418	validation	training	validation	1
193	DB00316|DB01193	DB01193	DB00316	validation	training	validation	1
194	DB01001|DB01193	DB01193	DB01001	validation	test	test	1
195	DB00437|DB01193	DB01193	DB00437	validation	training	validation	1
196	DB00404|DB01193	DB01193	DB00404	validation	test	test	1
197	DB00594|DB01193	DB01193	DB00594	validation	validation	validation	2
198	DB01118|DB01193	DB01193	DB01118	validation	training	validation	1
199	DB00321|DB01193	DB01193	DB00321	validation	training	validation	1
200	DB00443|DB01193	DB01193	DB00443	validation	training	validation	1
201	DB01193|DB01558	DB01193	DB01558	validation	validation	validation	2
202	DB00921|DB01193	DB01193	DB00921	validation	training	validation	1
203	DB01193|DB01373	DB01193	DB01373	validation	training	validation	1
204	DB01193|DB01197	DB01193	DB01197	validation	validation	validation	2
205	DB00564|DB01193	DB01193	DB00564	validation	training	validation	1
206	DB00493|DB01193	DB01193	DB00493	validation	training	validation	1
207	DB01193|DB01212	DB01193	DB01212	validation	training	validation	1
208	DB00537|DB01193	DB01193	DB00537	validation	training	validation	1
209	DB00515|DB01193	DB01193	DB00515	validation	training	validation	1
210	DB00215|DB01193	DB01193	DB00215	validation	test	test	1
211	DB01068|DB01193	DB01193	DB01068	validation	test	test	1
212	DB00575|DB01193	DB01193	DB00575	validation	validation	validation	2
213	DB01193|DB01394	DB01193	DB01394	validation	training	validation	1
214	DB00091|DB01193	DB01193	DB00091	validation	validation	validation	2
215	DB01193|DB01234	DB01193	DB01234	validation	validation	validation	2
216	DB00829|DB01193	DB01193	DB00829	validation	training	validation	1
217	DB00586|DB01193	DB01193	DB00586	validation	training	validation	1
218	DB00390|DB01193	DB01193	DB00390	validation	training	validation	1
219	DB00343|DB01193	DB01193	DB00343	validation	training	validation	1
220	DB01075|DB01193	DB01193	DB01075	validation	training	validation	1
221	DB01184|DB01193	DB01193	DB01184	validation	training	validation	1
222	DB00997|DB01193	DB01193	DB00997	validation	training	validation	1
223	DB00584|DB01193	DB01193	DB00584	validation	training	validation	1
224	DB00783|DB01193	DB01193	DB00783	validation	validation	validation	2
225	DB00286|DB01193	DB01193	DB00286	validation	training	validation	1
226	DB00773|DB01193	DB01193	DB00773	validation	training	validation	1
227	DB01023|DB01193	DB01193	DB01023	validation	validation	validation	2
228	DB00813|DB01193	DB01193	DB00813	validation	training	validation	1
229	DB01193|DB01195	DB01193	DB01195	validation	training	validation	1
230	DB00196|DB01193	DB01193	DB00196	validation	training	validation	1
231	DB00544|DB01193	DB01193	DB00544	validation	test	test	1
232	DB00472|DB01193	DB01193	DB00472	validation	training	validation	1
233	DB00158|DB01193	DB01193	DB00158	validation	test	test	1
234	DB00695|DB01193	DB01193	DB00695	validation	test	test	1
235	DB00674|DB01193	DB01193	DB00674	validation	training	validation	1
236	DB01016|DB01193	DB01193	DB01016	validation	validation	validation	2
237	DB01120|DB01193	DB01193	DB01120	validation	validation	validation	2
238	DB00727|DB01193	DB01193	DB00727	validation	training	validation	1
239	DB01109|DB01193	DB01193	DB01109	validation	training	validation	1
240	DB00999|DB01193	DB01193	DB00999	validation	training	validation	1
241	DB00956|DB01193	DB01193	DB00956	validation	training	validation	1
242	DB00741|DB01193	DB01193	DB00741	validation	test	test	1
243	DB00557|DB01193	DB01193	DB00557	validation	training	validation	1
244	DB01050|DB01193	DB01193	DB01050	validation	validation	validation	2
245	DB00808|DB01193	DB01193	DB00808	validation	training	validation	1
246	DB01193|DB09401	DB01193	DB09401	validation	validation	validation	2
247	DB00883|DB01193	DB01193	DB00883	validation	test	test	1
248	DB01009|DB01193	DB01193	DB01009	validation	test	test	1
249	DB00598|DB01193	DB01193	DB00598	validation	training	validation	1
250	DB00581|DB01193	DB01193	DB00581	validation	training	validation	1
251	DB00650|DB01193	DB01193	DB00650	validation	training	validation	1
252	DB01193|DB01235	DB01193	DB01235	validation	training	validation	1
253	DB00186|DB01193	DB01193	DB00186	validation	training	validation	1
254	DB01043|DB01193	DB01193	DB01043	validation	training	validation	1
255	DB00371|DB01193	DB01193	DB00371	validation	training	validation	1
256	DB00331|DB01193	DB01193	DB00331	validation	training	validation	1
257	DB00563|DB01193	DB01193	DB00563	validation	training	validation	1
258	DB00959|DB01193	DB01193	DB00959	validation	training	validation	1
259	DB01193|DB01233	DB01193	DB01233	validation	training	validation	1
260	DB00264|DB01193	DB01193	DB00264	validation	training	validation	1
261	DB00916|DB01193	DB01193	DB00916	validation	training	validation	1
262	DB01193|DB06148	DB01193	DB06148	validation	training	validation	1
263	DB01193|DB09282	DB01193	DB09282	validation	training	validation	1
264	DB00295|DB01193	DB01193	DB00295	validation	training	validation	1
265	DB01193|DB13588	DB01193	DB13588	validation	training	validation	1
266	DB01193|DB12293	DB01193	DB12293	validation	training	validation	1
267	DB00622|DB01193	DB01193	DB00622	validation	training	validation	1
268	DB01115|DB01193	DB01193	DB01115	validation	training	validation	1
269	DB01165|DB01193	DB01193	DB01165	validation	training	validation	1
270	DB00338|DB01193	DB01193	DB00338	validation	training	validation	1
271	DB00842|DB01193	DB01193	DB00842	validation	test	test	1
272	DB00497|DB01193	DB01193	DB00497	validation	validation	validation	2
273	DB00806|DB01193	DB01193	DB00806	validation	validation	validation	2
274	DB01193|DB12478	DB01193	DB12478	validation	training	validation	1
275	DB00761|DB01193	DB01193	DB00761	validation	training	validation	1
276	DB01193|DB01588	DB01193	DB01588	validation	test	test	1
277	DB00860|DB01193	DB01193	DB00860	validation	training	validation	1
278	DB00635|DB01193	DB01193	DB00635	validation	training	validation	1
279	DB01039|DB01193	DB01193	DB01039	validation	training	validation	1
