example_id	drug_a_id	drug_b_id	label	split
BIOSNAP_CANON:00000001	DRUGBANK:DB00005	DRUGBANK:DB00026	1	train
BIOSNAP_CANON:00000002	DRUGBANK:DB00005	DRUGBANK:DB00065	1	train
BIOSNAP_CANON:00000003	DRUGBANK:DB00005	DRUGBANK:DB00072	1	train
BIOSNAP_CANON:00000007	DRUGBANK:DB00005	DRUGBANK:DB00864	1	train
BIOSNAP_CANON:00000008	DRUGBANK:DB00005	DRUGBANK:DB01097	1	train
BIOSNAP_CANON:00000009	DRUGBANK:DB00005	DRUGBANK:DB01281	1	train
BIOSNAP_CANON:00000010	DRUGBANK:DB00005	DRUGBANK:DB01656	1	train
BIOSNAP_CANON:00000011	DRUGBANK:DB00005	DRUGBANK:DB06168	1	train
BIOSNAP_CANON:00000013	DRUGBANK:DB00005	DRUGBANK:DB06372	1	train
BIOSNAP_CANON:00000015	DRUGBANK:DB00005	DRUGBANK:DB06688	1	train
BIOSNAP_CANON:00000018	DRUGBANK:DB00005	DRUGBANK:DB08904	1	train
BIOSNAP_CANON:00000019	DRUGBANK:DB00005	DRUGBANK:DB09033	1	train
BIOSNAP_CANON:00000020	DRUGBANK:DB00005	DRUGBANK:DB10283	1	train
BIOSNAP_CANON:00000021	DRUGBANK:DB00006	DRUGBANK:DB00009	1	train
BIOSNAP_CANON:00000024	DRUGBANK:DB00006	DRUGBANK:DB00029	1	train
BIOSNAP_CANON:00000026	DRUGBANK:DB00006	DRUGBANK:DB00048	1	train
BIOSNAP_CANON:00000027	DRUGBANK:DB00006	DRUGBANK:DB00054	1	train
BIOSNAP_CANON:00000028	DRUGBANK:DB00006	DRUGBANK:DB00065	1	train
BIOSNAP_CANON:00000030	DRUGBANK:DB00006	DRUGBANK:DB00081	1	train
BIOSNAP_CANON:00000032	DRUGBANK:DB00006	DRUGBANK:DB00163	1	train
BIOSNAP_CANON:00000036	DRUGBANK:DB00006	DRUGBANK:DB00374	1	train
BIOSNAP_CANON:00000037	DRUGBANK:DB00006	DRUGBANK:DB00378	1	train
BIOSNAP_CANON:00000039	DRUGBANK:DB00006	DRUGBANK:DB00498	1	train
BIOSNAP_CANON:00000040	DRUGBANK:DB00006	DRUGBANK:DB00569	1	train
BIOSNAP_CANON:00000041	DRUGBANK:DB00006	DRUGBANK:DB00682	1	train
BIOSNAP_CANON:00000042	DRUGBANK:DB00006	DRUGBANK:DB00686	1	train
BIOSNAP_CANON:00000043	DRUGBANK:DB00006	DRUGBANK:DB00932	1	train
BIOSNAP_CANON:00000044	DRUGBANK:DB00006	DRUGBANK:DB00936	1	train
BIOSNAP_CANON:00000047	DRUGBANK:DB00006	DRUGBANK:DB00974	1	train
BIOSNAP_CANON:00000049	DRUGBANK:DB00006	DRUGBANK:DB01207	1	train
BIOSNAP_CANON:00000050	DRUGBANK:DB00006	DRUGBANK:DB01225	1	train
BIOSNAP_CANON:00000051	DRUGBANK:DB00006	DRUGBANK:DB01254	1	train
BIOSNAP_CANON:00000053	DRUGBANK:DB00006	DRUGBANK:DB01609	1	train
BIOSNAP_CANON:00000056	DRUGBANK:DB00006	DRUGBANK:DB04865	1	train
BIOSNAP_CANON:00000058	DRUGBANK:DB00006	DRUGBANK:DB06228	1	train
BIOSNAP_CANON:00000059	DRUGBANK:DB00006	DRUGBANK:DB06271	1	train
BIOSNAP_CANON:00000060	DRUGBANK:DB00006	DRUGBANK:DB06605	1	train
BIOSNAP_CANON:00000061	DRUGBANK:DB00006	DRUGBANK:DB06695	1	train
BIOSNAP_CANON:00000062	DRUGBANK:DB00006	DRUGBANK:DB06730	1	train
BIOSNAP_CANON:00000064	DRUGBANK:DB00006	DRUGBANK:DB08794	1	train
BIOSNAP_CANON:00000065	DRUGBANK:DB00006	DRUGBANK:DB08935	1	train
BIOSNAP_CANON:00000066	DRUGBANK:DB00006	DRUGBANK:DB09030	1	train
BIOSNAP_CANON:00000067	DRUGBANK:DB00006	DRUGBANK:DB09053	1	train
BIOSNAP_CANON:00000068	DRUGBANK:DB00006	DRUGBANK:DB09070	1	train
BIOSNAP_CANON:00000069	DRUGBANK:DB00006	DRUGBANK:DB09075	1	train
BIOSNAP_CANON:00000070	DRUGBANK:DB00006	DRUGBANK:DB09079	1	train
BIOSNAP_CANON:00000071	DRUGBANK:DB00006	DRUGBANK:DB09211	1	train
BIOSNAP_CANON:00000072	DRUGBANK:DB00006	DRUGBANK:DB11133	1	train
BIOSNAP_CANON:00000073	DRUGBANK:DB00007	DRUGBANK:DB00014	1	train
BIOSNAP_CANON:00000075	DRUGBANK:DB00007	DRUGBANK:DB00046	1	train
BIOSNAP_CANON:00000077	DRUGBANK:DB00007	DRUGBANK:DB00089	1	train
BIOSNAP_CANON:00000078	DRUGBANK:DB00007	DRUGBANK:DB00104	1	train
BIOSNAP_CANON:00000079	DRUGBANK:DB00007	DRUGBANK:DB00107	1	train
BIOSNAP_CANON:00000080	DRUGBANK:DB00007	DRUGBANK:DB00188	1	train
BIOSNAP_CANON:00000081	DRUGBANK:DB00007	DRUGBANK:DB00196	1	train
