pair_index	drugbank_pair_group	drug_a_drugbank_id	drug_b_drugbank_id	split
0	DB00316|DB01033	DB01033	DB00316	training
1	DB00787|DB01033	DB01033	DB00787	training
2	DB01001|DB01033	DB01033	DB01001	test
3	DB00437|DB01033	DB01033	DB00437	training
4	DB00404|DB01033	DB01033	DB00404	training
5	DB00321|DB01033	DB01033	DB00321	validation
6	DB00126|DB01033	DB01033	DB00126	training
7	DB00023|DB01033	DB01033	DB00023	training
8	DB00945|DB01033	DB01033	DB00945	training
9	DB00335|DB01033	DB01033	DB00335	training
10	DB00993|DB01033	DB01033	DB00993	training
11	DB00443|DB01033	DB01033	DB00443	training
12	DB00921|DB01033	DB01033	DB00921	validation
13	DB00490|DB01033	DB01033	DB00490	test
14	DB01008|DB01033	DB01033	DB01008	training
15	DB01033|DB01373	DB01033	DB01373	validation
16	DB01033|DB06724	DB01033	DB06724	training
17	DB00564|DB01033	DB01033	DB00564	training
18	DB00395|DB01033	DB01033	DB00395	training
19	DB00262|DB01033	DB01033	DB00262	validation
20	DB01033|DB01212	DB01033	DB01212	training
21	DB00475|DB01033	DB01033	DB00475	training
22	DB00878|DB01033	DB01033	DB00878	training
23	DB00537|DB01033	DB01033	DB00537	training
24	DB00215|DB01033	DB01033	DB00215	training
25	DB01033|DB01068	DB01033	DB01068	training
26	DB00575|DB01033	DB01033	DB00575	training
27	DB00091|DB01033	DB01033	DB00091	test
28	DB00987|DB01033	DB01033	DB00987	training
29	DB00250|DB01033	DB01033	DB00250	training
30	DB00694|DB01033	DB01033	DB00694	test
31	DB01033|DB01234	DB01033	DB01234	test
32	DB00829|DB01033	DB01033	DB00829	test
33	DB00586|DB01033	DB01033	DB00586	training
34	DB00804|DB01033	DB01033	DB00804	training
35	DB00390|DB01033	DB01033	DB00390	training
36	DB00327|DB01033	DB01033	DB00327	test
37	DB00985|DB01033	DB01033	DB00985	training
38	DB01033|DB01075	DB01033	DB01075	validation
39	DB01033|DB01081	DB01033	DB01081	training
40	DB01033|DB01184	DB01033	DB01184	training
41	DB00997|DB01033	DB01033	DB00997	training
42	DB00584|DB01033	DB01033	DB00584	training
43	DB00783|DB01033	DB01033	DB00783	validation
44	DB00286|DB01033	DB01033	DB00286	validation
45	DB00977|DB01033	DB01033	DB00977	training
46	DB00773|DB01033	DB01033	DB00773	training
47	DB00927|DB01033	DB01033	DB00927	test
48	DB00813|DB01033	DB01033	DB00813	validation
49	DB00196|DB01033	DB01033	DB00196	training
50	DB00472|DB01033	DB01033	DB00472	training
51	DB00158|DB01033	DB01033	DB00158	training
52	DB00695|DB01033	DB01033	DB00695	training
53	DB01004|DB01033	DB01033	DB01004	training
54	DB01016|DB01033	DB01033	DB01016	training
55	DB01033|DB01296	DB01033	DB01296	training
56	DB01033|DB01109	DB01033	DB01109	validation
57	DB00999|DB01033	DB01033	DB00999	training
58	DB00956|DB01033	DB01033	DB00956	validation
59	DB00741|DB01033	DB01033	DB00741	test
60	DB01033|DB01611	DB01033	DB01611	training
61	DB01005|DB01033	DB01033	DB01005	training
62	DB00557|DB01033	DB01033	DB00557	training
63	DB01033|DB01050	DB01033	DB01050	training
64	DB01033|DB01177	DB01033	DB01177	test
65	DB01033|DB01181	DB01033	DB01181	training
66	DB01033|DB09401	DB01033	DB09401	test
67	DB00982|DB01033	DB01033	DB00982	training
68	DB00650|DB01033	DB01033	DB00650	training
69	DB00281|DB01033	DB01033	DB00281	training
70	DB00836|DB01033	DB01033	DB00836	test
71	DB00186|DB01033	DB01033	DB00186	training
72	DB01033|DB01042	DB01033	DB01042	training
73	DB00331|DB01033	DB01033	DB00331	validation
74	DB00333|DB01033	DB01033	DB00333	training
75	DB00563|DB01033	DB01033	DB00563	training
76	DB00959|DB01033	DB01033	DB00959	test
77	DB01033|DB01233	DB01033	DB01233	test
78	DB00264|DB01033	DB01033	DB00264	training
79	DB00916|DB01033	DB01033	DB00916	training
80	DB00683|DB01033	DB01033	DB00683	training
81	DB01033|DB01204	DB01033	DB01204	training
82	DB00295|DB01033	DB01033	DB00295	training
83	DB00627|DB01033	DB01033	DB00627	training
84	DB00646|DB01033	DB01033	DB00646	validation
85	DB00338|DB01033	DB01033	DB00338	training
86	DB00497|DB01033	DB01033	DB00497	test
87	DB00233|DB01033	DB01033	DB00233	test
88	DB00738|DB01033	DB01033	DB00738	training
89	DB01022|DB01033	DB01033	DB01022	training
90	DB01033|DB14500	DB01033	DB14500	test
91	DB00761|DB01033	DB01033	DB00761	training
92	DB00860|DB01033	DB01033	DB00860	validation
93	DB00635|DB01033	DB01033	DB00635	training
94	DB00433|DB01033	DB01033	DB00433	training
95	DB01033|DB01069	DB01033	DB01069	training
96	DB00647|DB01033	DB01033	DB00647	test
97	DB00571|DB01033	DB01033	DB00571	validation
98	DB00550|DB01033	DB01033	DB00550	training
99	DB00863|DB01033	DB01033	DB00863	training
100	DB00795|DB01033	DB01033	DB00795	training
101	DB01033|DB09153	DB01033	DB09153	validation
102	DB00421|DB01033	DB01033	DB00421	test
103	DB00444|DB01033	DB01033	DB00444	validation
104	DB00624|DB01033	DB01033	DB00624	training
105	DB00352|DB01033	DB01033	DB00352	training
106	DB00451|DB01033	DB01033	DB00451	test
107	DB00193|DB01033	DB01033	DB00193	training
108	DB00656|DB01033	DB01033	DB00656	training
109	DB00755|DB01033	DB01033	DB00755	test
110	DB00620|DB01033	DB01033	DB00620	training
111	DB00440|DB01033	DB01033	DB00440	test
112	DB00512|DB01033	DB01033	DB00512	validation
113	DB00661|DB01033	DB01033	DB00661	validation
114	DB00570|DB01033	DB01033	DB00570	training
115	DB00541|DB01033	DB01033	DB00541	training
116	DB00309|DB01033	DB01033	DB00309	training
117	DB00162|DB01033	DB01033	DB00162	training
118	DB00115|DB01033	DB01033	DB00115	test
119	DB01033|DB11094	DB01033	DB11094	training
120	DB00682|DB01033	DB01033	DB00682	training
121	DB00370|DB01033	DB01033	DB00370	test
122	DB00448|DB01033	DB01033	DB00448	training
123	DB00381|DB01033	DB01033	DB00381	test
124	DB01014|DB01033	DB01033	DB01014	test
125	DB01033|DB01222	DB01033	DB01222	validation
126	DB00241|DB01033	DB01033	DB00241	training
127	DB01033|DB01413	DB01033	DB01413	validation
128	DB00341|DB01033	DB01033	DB00341	training
129	DB00924|DB01033	DB01033	DB00924	training
130	DB01033|DB01073	DB01033	DB01073	validation
131	DB00996|DB01033	DB01033	DB00996	training
132	DB00904|DB01033	DB01033	DB00904	training
133	DB00889|DB01033	DB01033	DB00889	training
134	DB01033|DB01167	DB01033	DB01167	training
135	DB00555|DB01033	DB01033	DB00555	training
136	DB00455|DB01033	DB01033	DB00455	validation
137	DB00776|DB01033	DB01033	DB00776	test
138	DB01033|DB06285	DB01033	DB06285	test
139	DB00758|DB01033	DB01033	DB00758	training
140	DB00059|DB01033	DB01033	DB00059	test
141	DB00178|DB01033	DB01033	DB00178	training
142	DB00734|DB01033	DB01033	DB00734	training
143	DB01033|DB01104	DB01033	DB01104	training
144	DB00641|DB01033	DB01033	DB00641	training
145	DB01033|DB01390	DB01033	DB01390	validation
146	DB00669|DB01033	DB01033	DB00669	training
147	DB00273|DB01033	DB01033	DB00273	training
148	DB00285|DB01033	DB01033	DB00285	training
149	DB00425|DB01033	DB01033	DB00425	training
150	DB00213|DB01033	DB01033	DB00213	training
151	DB01033|DB13867	DB01033	DB13867	training
152	DB00814|DB01033	DB01033	DB00814	training
153	DB01033|DB01156	DB01033	DB01156	test
154	DB00380|DB01033	DB01033	DB00380	training
155	DB00631|DB01033	DB01033	DB00631	training
156	DB00242|DB01033	DB01033	DB00242	validation
157	DB00678|DB01033	DB01033	DB00678	training
158	DB00244|DB01033	DB01033	DB00244	training
159	DB01033|DB01225	DB01033	DB01225	training
160	DB00688|DB01033	DB01033	DB00688	training
161	DB01033|DB01409	DB01033	DB01409	training
162	DB00476|DB01033	DB01033	DB00476	training
163	DB00966|DB01033	DB01033	DB00966	training
164	DB00577|DB01033	DB01033	DB00577	validation
165	DB01033|DB11089	DB01033	DB11089	training
166	DB01033|DB01137	DB01033	DB01137	validation
167	DB00471|DB01033	DB01033	DB00471	training
168	DB00764|DB01033	DB01033	DB00764	test
169	DB01033|DB01202	DB01033	DB01202	training
170	DB01033|DB01129	DB01033	DB01129	training
171	DB00087|DB01033	DB01033	DB00087	validation
172	DB00073|DB01033	DB01033	DB00073	training
173	DB00582|DB01033	DB01033	DB00582	training
174	DB01033|DB01307	DB01033	DB01307	training
175	DB00520|DB01033	DB01033	DB00520	validation
176	DB00482|DB01033	DB01033	DB00482	test
177	DB00424|DB01033	DB01033	DB00424	training
178	DB00005|DB01033	DB01033	DB00005	training
179	DB01033|DB01280	DB01033	DB01280	test
180	DB00047|DB01033	DB01033	DB00047	training
181	DB00619|DB01033	DB01033	DB00619	training
182	DB00736|DB01033	DB01033	DB00736	training
183	DB01033|DB01098	DB01033	DB01098	training
184	DB01033|DB01175	DB01033	DB01175	validation
185	DB01033|DB01141	DB01033	DB01141	training
186	DB00051|DB01033	DB01033	DB00051	training
187	DB00480|DB01033	DB01033	DB00480	training
188	DB01033|DB08904	DB01033	DB08904	training
189	DB01033|DB08882	DB01033	DB08882	training
190	DB00169|DB01033	DB01033	DB00169	test
191	DB01033|DB08890	DB01033	DB08890	training
192	DB01193|DB01418	DB01193	DB01418	training
193	DB00316|DB01193	DB01193	DB00316	training
194	DB01001|DB01193	DB01193	DB01001	validation
195	DB00437|DB01193	DB01193	DB00437	validation
196	DB00404|DB01193	DB01193	DB00404	training
197	DB00594|DB01193	DB01193	DB00594	training
198	DB01118|DB01193	DB01193	DB01118	training
199	DB00321|DB01193	DB01193	DB00321	training
200	DB00443|DB01193	DB01193	DB00443	test
201	DB01193|DB01558	DB01193	DB01558	training
202	DB00921|DB01193	DB01193	DB00921	test
203	DB01193|DB01373	DB01193	DB01373	test
204	DB01193|DB01197	DB01193	DB01197	training
205	DB00564|DB01193	DB01193	DB00564	training
206	DB00493|DB01193	DB01193	DB00493	test
207	DB01193|DB01212	DB01193	DB01212	validation
208	DB00537|DB01193	DB01193	DB00537	test
209	DB00515|DB01193	DB01193	DB00515	test
210	DB00215|DB01193	DB01193	DB00215	validation
211	DB01068|DB01193	DB01193	DB01068	training
212	DB00575|DB01193	DB01193	DB00575	training
213	DB01193|DB01394	DB01193	DB01394	training
214	DB00091|DB01193	DB01193	DB00091	training
215	DB01193|DB01234	DB01193	DB01234	training
216	DB00829|DB01193	DB01193	DB00829	validation
217	DB00586|DB01193	DB01193	DB00586	training
218	DB00390|DB01193	DB01193	DB00390	training
219	DB00343|DB01193	DB01193	DB00343	training
220	DB01075|DB01193	DB01193	DB01075	test
221	DB01184|DB01193	DB01193	DB01184	training
222	DB00997|DB01193	DB01193	DB00997	training
223	DB00584|DB01193	DB01193	DB00584	validation
224	DB00783|DB01193	DB01193	DB00783	training
225	DB00286|DB01193	DB01193	DB00286	training
226	DB00773|DB01193	DB01193	DB00773	test
227	DB01023|DB01193	DB01193	DB01023	training
228	DB00813|DB01193	DB01193	DB00813	training
229	DB01193|DB01195	DB01193	DB01195	test
230	DB00196|DB01193	DB01193	DB00196	validation
231	DB00544|DB01193	DB01193	DB00544	training
232	DB00472|DB01193	DB01193	DB00472	test
233	DB00158|DB01193	DB01193	DB00158	test
234	DB00695|DB01193	DB01193	DB00695	training
235	DB00674|DB01193	DB01193	DB00674	training
236	DB01016|DB01193	DB01193	DB01016	training
237	DB01120|DB01193	DB01193	DB01120	validation
238	DB00727|DB01193	DB01193	DB00727	training
239	DB01109|DB01193	DB01193	DB01109	training
240	DB00999|DB01193	DB01193	DB00999	training
241	DB00956|DB01193	DB01193	DB00956	test
242	DB00741|DB01193	DB01193	DB00741	training
243	DB00557|DB01193	DB01193	DB00557	training
244	DB01050|DB01193	DB01193	DB01050	training
245	DB00808|DB01193	DB01193	DB00808	training
246	DB01193|DB09401	DB01193	DB09401	training
247	DB00883|DB01193	DB01193	DB00883	test
248	DB01009|DB01193	DB01193	DB01009	validation
249	DB00598|DB01193	DB01193	DB00598	test
250	DB00581|DB01193	DB01193	DB00581	training
251	DB00650|DB01193	DB01193	DB00650	test
252	DB01193|DB01235	DB01193	DB01235	test
253	DB00186|DB01193	DB01193	DB00186	training
254	DB01043|DB01193	DB01193	DB01043	training
255	DB00371|DB01193	DB01193	DB00371	training
256	DB00331|DB01193	DB01193	DB00331	training
257	DB00563|DB01193	DB01193	DB00563	training
258	DB00959|DB01193	DB01193	DB00959	training
259	DB01193|DB01233	DB01193	DB01233	training
260	DB00264|DB01193	DB01193	DB00264	training
261	DB00916|DB01193	DB01193	DB00916	training
262	DB01193|DB06148	DB01193	DB06148	training
