pair_index	drugbank_pair_group	drug_a_drugbank_id	drug_b_drugbank_id	drug_a_split	drug_b_split	split	unseen_drug_count
0	DB00316|DB01033	DB01033	DB00316	test	test	test	2
1	DB00787|DB01033	DB01033	DB00787	test	training	test	1
2	DB01001|DB01033	DB01033	DB01001	test	training	test	1
3	DB00437|DB01033	DB01033	DB00437	test	test	test	2
4	DB00404|DB01033	DB01033	DB00404	test	test	test	2
5	DB00321|DB01033	DB01033	DB00321	test	training	test	1
6	DB00126|DB01033	DB01033	DB00126	test	test	test	2
7	DB00023|DB01033	DB01033	DB00023	test	validation	test	1
8	DB00945|DB01033	DB01033	DB00945	test	training	test	1
9	DB00335|DB01033	DB01033	DB00335	test	test	test	2
10	DB00993|DB01033	DB01033	DB00993	test	test	test	2
11	DB00443|DB01033	DB01033	DB00443	test	validation	test	1
12	DB00921|DB01033	DB01033	DB00921	test	training	test	1
13	DB00490|DB01033	DB01033	DB00490	test	test	test	2
14	DB01008|DB01033	DB01033	DB01008	test	validation	test	1
15	DB01033|DB01373	DB01033	DB01373	test	training	test	1
16	DB01033|DB06724	DB01033	DB06724	test	training	test	1
17	DB00564|DB01033	DB01033	DB00564	test	training	test	1
18	DB00395|DB01033	DB01033	DB00395	test	training	test	1
19	DB00262|DB01033	DB01033	DB00262	test	training	test	1
20	DB01033|DB01212	DB01033	DB01212	test	training	test	1
21	DB00475|DB01033	DB01033	DB00475	test	validation	test	1
22	DB00878|DB01033	DB01033	DB00878	test	test	test	2
23	DB00537|DB01033	DB01033	DB00537	test	training	test	1
24	DB00215|DB01033	DB01033	DB00215	test	training	test	1
25	DB01033|DB01068	DB01033	DB01068	test	training	test	1
26	DB00575|DB01033	DB01033	DB00575	test	training	test	1
27	DB00091|DB01033	DB01033	DB00091	test	training	test	1
28	DB00987|DB01033	DB01033	DB00987	test	training	test	1
29	DB00250|DB01033	DB01033	DB00250	test	training	test	1
30	DB00694|DB01033	DB01033	DB00694	test	training	test	1
31	DB01033|DB01234	DB01033	DB01234	test	training	test	1
32	DB00829|DB01033	DB01033	DB00829	test	validation	test	1
33	DB00586|DB01033	DB01033	DB00586	test	training	test	1
34	DB00804|DB01033	DB01033	DB00804	test	test	test	2
35	DB00390|DB01033	DB01033	DB00390	test	test	test	2
36	DB00327|DB01033	DB01033	DB00327	test	validation	test	1
37	DB00985|DB01033	DB01033	DB00985	test	training	test	1
38	DB01033|DB01075	DB01033	DB01075	test	training	test	1
39	DB01033|DB01081	DB01033	DB01081	test	validation	test	1
40	DB01033|DB01184	DB01033	DB01184	test	training	test	1
41	DB00997|DB01033	DB01033	DB00997	test	training	test	1
42	DB00584|DB01033	DB01033	DB00584	test	training	test	1
43	DB00783|DB01033	DB01033	DB00783	test	training	test	1
44	DB00286|DB01033	DB01033	DB00286	test	validation	test	1
45	DB00977|DB01033	DB01033	DB00977	test	training	test	1
